iter	Logloss
0	0.6909308443
1	0.6884975625
2	0.6868367322
3	0.6847923153
4	0.6826630466
5	0.6810746111
6	0.6795808813
7	0.6776956845
8	0.676067608
9	0.6742339726
10	0.6719527023
11	0.6699700091
12	0.6685195497
13	0.6668642885
14	0.6651644519
15	0.663510352
16	0.6617920228
17	0.6600387253
18	0.658628075
19	0.6570129843
20	0.6549793485
21	0.6530246068
22	0.6512030899
23	0.6488618452
24	0.646979046
25	0.6455030194
26	0.6434731084
27	0.6418256311
28	0.6401606982
29	0.6390426446
30	0.6375304375
31	0.6355541043
32	0.6341478431
33	0.632495741
34	0.6311379076
35	0.6296066382
36	0.6282607035
37	0.6270045519
38	0.625631648
39	0.624415612
40	0.6230537727
41	0.6213230078
42	0.6192850148
43	0.6173297928
44	0.615765506
45	0.6142133844
46	0.6130582313
47	0.6114017275
48	0.6098991319
49	0.6085519948
50	0.6066672386
51	0.605521249
52	0.6041311909
53	0.6027671714
54	0.6014212481
55	0.6000717733
56	0.5988879025
57	0.5972934222
58	0.5955755948
59	0.5941416815
60	0.5933329318
61	0.5917497411
62	0.5904104509
63	0.5892283584
64	0.5878641834
65	0.5866257746
66	0.5854052325
67	0.5839649823
68	0.5824779718
69	0.5808674263
70	0.5793829933
71	0.5779396268
72	0.5767568043
73	0.5755491678
74	0.5743904347
75	0.5730653136
76	0.5716124758
77	0.5692970574
78	0.567915338
79	0.5667999675
80	0.5656861659
81	0.5642047268
82	0.5629039536
83	0.5618772413
84	0.560363365
85	0.5597366758
86	0.5585203459
87	0.5567630353
88	0.5555026709
89	0.5539149635
90	0.5530856048
91	0.5523749535
92	0.5514994384
93	0.5508177903
94	0.5496927916
95	0.5488359103
96	0.5472824964
97	0.5460331532
98	0.5449560881
99	0.5436746504
100	0.5428451951
101	0.5415451832
102	0.5404545865
103	0.53908998
104	0.538214144
105	0.5374747844
106	0.536521647
107	0.5355713708
108	0.5343558914
109	0.5332495308
110	0.5322521271
111	0.5313103005
112	0.5297684757
113	0.5291472317
114	0.5279153189
115	0.5272106079
116	0.5256213783
117	0.5248804164
118	0.5237594234
119	0.5229130305
120	0.5219603684
121	0.5209776841
122	0.5197117591
123	0.518827749
124	0.5180935501
125	0.5169453055
126	0.5156189338
127	0.5144938853
128	0.513921566
129	0.5128927677
130	0.5118506456
131	0.5109067618
132	0.5100077712
133	0.509204154
134	0.5083480274
135	0.507561245
136	0.5062996891
137	0.505324618
138	0.5044382771
139	0.5035715938
140	0.5024493529
141	0.5013377588
142	0.500406439
143	0.4996318054
144	0.4985877786
145	0.4977373012
146	0.4966760639
147	0.4961504358
148	0.4955377169
149	0.494558721
150	0.4936723895
151	0.4927856189
152	0.4921088733
153	0.4910524977
154	0.4904895958
155	0.4894225437
156	0.4885979772
157	0.487736922
158	0.4867537083
159	0.486010164
160	0.4851009459
161	0.4840004987
162	0.4831689427
163	0.482186094
164	0.4815487906
165	0.4806084979
166	0.4798821482
167	0.4791980168
168	0.4779759667
169	0.4766312224
170	0.4759665581
171	0.4752017379
172	0.474533219
173	0.474157199
174	0.4733791289
175	0.4727311966
176	0.4721460898
177	0.4713392473
178	0.470357379
179	0.4693862632
180	0.4685871624
181	0.4676392282
182	0.4667243673
183	0.4660332321
184	0.4651596223
185	0.4642393524
186	0.4637540242
187	0.463182054
188	0.4624869863
189	0.4615282149
190	0.4604544861
191	0.4597869184
192	0.459081081
193	0.458510818
194	0.4575494943
195	0.4568504776
196	0.4563141844
197	0.4555592585
198	0.4548225019
199	0.4540706516
200	0.4533895633
201	0.4524935472
202	0.4514492406
203	0.4512262403
204	0.4506819631
205	0.4499634176
206	0.4493232538
207	0.4484022446
208	0.4475481203
209	0.4466899959
210	0.4457858116
211	0.4449027633
212	0.4440968051
213	0.4432760786
214	0.4424314554
215	0.4420082362
216	0.4414208367
217	0.4402632205
218	0.439693348
219	0.4390210809
220	0.4378084586
221	0.4370745991
222	0.4366886037
223	0.4359024545
224	0.4351679856
225	0.4344963328
226	0.4340744767
227	0.4331141181
228	0.432390966
229	0.4314952259
230	0.4307515266
231	0.4301894045
232	0.4291395161
233	0.4286003722
234	0.4280651135
235	0.4271440509
236	0.4266852842
237	0.4262722984
238	0.4255762871
239	0.4248306462
240	0.424407258
241	0.4239493639
242	0.42334212
243	0.4228037449
244	0.4220279289
245	0.4215112735
246	0.4210550658
247	0.4205174069
248	0.419928054
249	0.41915523
250	0.4187066019
251	0.4182935539
252	0.4175721544
253	0.4167821006
254	0.4159101051
255	0.4155964728
256	0.4149617507
257	0.4142588763
258	0.4137850799
259	0.4129619474
260	0.4119759923
261	0.4113026967
262	0.4108172798
263	0.4100487058
264	0.4094389438
265	0.4087073066
266	0.4083578193
267	0.4077205937
268	0.4071633792
269	0.4065398981
270	0.4062730647
271	0.4056821096
272	0.4050045973
273	0.4041767436
274	0.4035689279
275	0.4030668795
276	0.4026884279
277	0.402212761
278	0.4019651195
279	0.4014608882
280	0.4007343638
281	0.4000842932
282	0.3994124234
283	0.398907188
284	0.3980635523
285	0.3973459681
286	0.3967798527
287	0.3962925673
288	0.3958446647
289	0.3952607762
290	0.3949436163
291	0.3939710811
292	0.3934341668
293	0.3928911039
294	0.3920232309
295	0.3914377725
296	0.3910076351
297	0.3903088169
298	0.3897679036
299	0.3892478666
300	0.3884981111
301	0.3879824087
302	0.3873553148
303	0.3864323562
304	0.3861640459
305	0.3855795075
306	0.3851392299
307	0.3845883094
308	0.3840599059
309	0.3835567842
310	0.3829933974
311	0.3824507101
312	0.3815938915
313	0.3811054804
314	0.3804587545
315	0.3799170994
316	0.3794550992
317	0.379001779
318	0.3785733232
319	0.3782444242
320	0.3778132427
321	0.3772308651
322	0.3766723868
323	0.3760548526
324	0.3756271018
325	0.3749337942
326	0.3743986838
327	0.3740108582
328	0.373362397
329	0.3730162078
330	0.3724085542
331	0.3719064147
332	0.3710807943
333	0.3704351967
334	0.3699171072
335	0.3691663965
336	0.3685037272
337	0.3676900744
338	0.3670287854
339	0.3666003097
340	0.3663040789
341	0.3660183481
342	0.3655687556
343	0.3652136438
344	0.3647321899
345	0.3644965389
346	0.3641649563
347	0.3637718829
348	0.36334892
349	0.3629305641
350	0.3625392681
351	0.3621164873
352	0.3615536171
353	0.3612016386
354	0.3606889816
355	0.3603104558
356	0.3599573257
357	0.3595710998
358	0.3591367698
359	0.3585296462
360	0.3583448922
361	0.3581135069
362	0.3576607623
363	0.3573111701
364	0.3566166283
365	0.3562055492
366	0.3557357294
367	0.3554301791
368	0.3549352073
369	0.3545144196
370	0.3541348412
371	0.3537764337
372	0.3533245795
373	0.3529882057
374	0.3523637694
375	0.3516519611
376	0.3514073239
377	0.3509865974
378	0.3503154486
379	0.3497781421
380	0.3497180637
381	0.3493944363
382	0.3486561293
383	0.348304752
384	0.3479064646
385	0.3472590583
386	0.3469034787
387	0.3462751676
388	0.3459808646
389	0.345606777
390	0.3450607264
391	0.3446767173
392	0.3439410211
393	0.3436010782
394	0.3430119591
395	0.3426775964
396	0.3424776295
397	0.3419094587
398	0.3415400606
399	0.3412888823
400	0.3410233707
401	0.3407685858
402	0.3403258013
403	0.3400917818
404	0.3395718092
405	0.3392389206
406	0.338916769
407	0.3385428573
408	0.3382528315
409	0.3379186115
410	0.337463701
411	0.3372313598
412	0.3369238689
413	0.3364699218
414	0.3361386808
415	0.3358696076
416	0.3354953042
417	0.3351556084
418	0.3347177091
419	0.3343372986
420	0.333724768
421	0.3331785668
422	0.3329334589
423	0.332476859
424	0.3323359156
425	0.3320249111
426	0.3316875107
427	0.3315406018
428	0.3310132594
429	0.3307794068
430	0.330338284
431	0.3297575537
432	0.3294429447
433	0.3291770768
434	0.3287138412
435	0.3281264178
436	0.3277787331
437	0.3275883536
438	0.3271514441
439	0.3266502095
440	0.326498631
441	0.3260088394
442	0.3255173728
443	0.3252519748
444	0.3246644868
445	0.3242684693
446	0.3239848086
447	0.3237248167
448	0.3234832895
449	0.3231886592
450	0.3230406288
451	0.3226671185
452	0.3223225135
453	0.3217934247
454	0.3214013213
455	0.3211249722
456	0.3208217826
457	0.3204678337
458	0.3200669943
459	0.3196363286
460	0.3193923802
461	0.3190627515
462	0.3184520782
463	0.3181108401
464	0.3179048662
465	0.3174337055
466	0.3171290469
467	0.3169136159
468	0.3165173825
469	0.3162750356
470	0.3158936447
471	0.3155908744
472	0.3153094078
473	0.3149697702
474	0.3146176337
475	0.3143168303
476	0.3139825463
477	0.3137914399
478	0.3135715443
479	0.3133709944
480	0.3131345296
481	0.312824244
482	0.3124239038
483	0.3120547415
484	0.3117940453
485	0.3114707194
486	0.3110927907
487	0.3108044292
